           t              x              v    Energia_Cinetica
    36.40000       11.52000        1.80000             1.62000
    36.50000       11.70000        1.80000             1.62000
    36.60000       11.88000        1.80000             1.62000
    36.70000       12.06000        1.80000             1.62000
    36.80000       12.24000        1.80000             1.62000
    36.90000       12.42000        1.80000             1.62000
    37.00000       12.60000        1.80000             1.62000
    37.10000       12.78000        1.80000             1.62000
    37.20000       12.96000        1.80000             1.62000
    37.30000       13.14000        1.80000             1.62000
    37.40000       13.32000        1.80000             1.62000
    37.50000       13.50000        1.80000             1.62000
    37.60000       13.68000        1.80000             1.62000
    37.70000       13.86000        1.80000             1.62000
    37.80000       14.04000        1.80000             1.62000
    37.90000       14.22000        1.80000             1.62000
    38.00000       14.40000        1.80000             1.62000
    38.10000       14.58000        1.80000             1.62000
    38.20000       14.76000        1.80000             1.62000
    38.30000       14.94000        1.80000             1.62000
    38.40000       15.12000        1.80000             1.62000
    38.50000       15.30000        1.80000             1.62000
    38.60000       15.48000        1.80000             1.62000
    38.70000       15.66000        1.80000             1.62000
    38.80000       15.84000        1.80000             1.62000
    38.90000       16.02000        1.80000             1.62000
    39.00000       16.20000        1.80000             1.62000
    39.10000       16.38000        1.80000             1.62000
    39.20000       16.56000        1.80000             1.62000
    39.30000       16.74000        1.80000             1.62000
    39.40000       16.92000        1.80000             1.62000
    39.50000       17.10000        1.80000             1.62000
    39.60000       17.28000        1.80000             1.62000
    39.70000       17.46000        1.80000             1.62000
    39.80000       17.64000        1.80000             1.62000
    39.90000       17.82000        1.80000             1.62000
    40.00000       18.00000        1.80000             1.62000
    40.10000       18.18000        1.80000             1.62000
    40.20000       18.36000        1.80000             1.62000
    40.30000       18.54000        1.80000             1.62000
    40.40000       18.72000        1.80000             1.62000
    40.50000       18.90000        1.80000             1.62000
    40.60000       19.08000        1.80000             1.62000
    40.70000       19.26000        1.80000             1.62000
    40.80000       19.44000        1.80000             1.62000
    40.90000       19.62000        1.80000             1.62000
    41.00000       19.80000        1.80000             1.62000
    41.10000       19.98000        1.80000             1.62000
    41.20000       20.16000        1.80000             1.62000
    41.30000       20.34000        1.80000             1.62000
    41.40000       20.52000        1.80000             1.62000
    41.50000       20.70000        1.80000             1.62000
    41.60000       20.88000        1.80000             1.62000
    41.70000       21.06000        1.80000             1.62000
    41.80000       21.24000        1.80000             1.62000
    41.90000       21.42000        1.80000             1.62000
    42.00000       21.60000        1.80000             1.62000
    42.10000       21.78000        1.80000             1.62000
    42.20000       21.96000        1.80000             1.62000
    42.30000       22.14000        1.80000             1.62000
    42.40000       22.32000        1.80000             1.62000
    42.50000       22.50000        1.80000             1.62000
    42.60000       22.68000        1.80000             1.62000
    42.70000       22.86000        1.80000             1.62000
    42.80000       23.04000        1.80000             1.62000
    42.90000       23.22000        1.80000             1.62000
    43.00000       23.40000        1.80000             1.62000
    43.10000       23.58000        1.80000             1.62000
    43.20000       23.76000        1.80000             1.62000
    43.30000       23.94000        1.80000             1.62000
    43.40000       24.12000        1.80000             1.62000
    43.50000       24.30000        1.80000             1.62000
    43.60000       24.48000        1.80000             1.62000
    43.70000       24.66000        1.80000             1.62000
    43.80000       24.84000        1.80000             1.62000
    43.90000       25.02000        1.80000             1.62000
    44.00000       25.20000        1.80000             1.62000
    44.10000       25.38000        1.80000             1.62000
    44.20000       25.56000        1.80000             1.62000
    44.30000       25.74000        1.80000             1.62000
    44.40000       25.92000        1.80000             1.62000
    44.50000       26.10000        1.80000             1.62000
    44.60000       26.28000        1.80000             1.62000
    44.70000       26.46000        1.80000             1.62000
    44.80000       26.64000        1.80000             1.62000
    44.90000       26.82000        1.80000             1.62000
    45.00000       27.00000        1.80000             1.62000
    45.10000       27.18000        1.80000             1.62000
    45.20000       27.36000        1.80000             1.62000
    45.30000       27.54000        1.80000             1.62000
    45.40000       27.72000        1.80000             1.62000
    45.50000       27.90000        1.80000             1.62000
    45.60000       28.08000        1.80000             1.62000
    45.70000       28.26000        1.80000             1.62000
    45.80000       28.44000        1.80000             1.62000
    45.90000       28.62000        1.80000             1.62000
    46.00000       28.80000        1.80000             1.62000
    46.10000       28.98000        1.80000             1.62000
    46.20000       29.16000        1.80000             1.62000
    46.30000       29.34000        1.80000             1.62000
    46.40000       29.52000        1.80000             1.62000
    46.50000       29.70000        1.80000             1.62000
    46.60000       29.88000        1.80000             1.62000
    46.70000       30.06000        1.80000             1.62000
    46.80000       30.24000        1.80000             1.62000
    46.90000       30.42000        1.80000             1.62000
    47.00000       30.60000        1.80000             1.62000
    47.10000       30.78000        1.80000             1.62000
    47.20000       30.96000        1.80000             1.62000
    47.30000       31.14000        1.80000             1.62000
    47.40000       31.32000        1.80000             1.62000
    47.50000       31.50000        1.80000             1.62000
    47.60000       31.68000        1.80000             1.62000
    47.70000       31.86000        1.80000             1.62000
    47.80000       32.04000        1.80000             1.62000
    47.90000       32.22000        1.80000             1.62000
    48.00000       32.40000        1.80000             1.62000
    48.10000       32.58000        1.80000             1.62000
    48.20000       32.76000        1.80000             1.62000
    48.30000       32.94000        1.80000             1.62000
    48.40000       33.12000        1.80000             1.62000
    48.50000       33.30000        1.80000             1.62000
    48.60000       33.48000        1.80000             1.62000
    48.70000       33.66000        1.80000             1.62000
    48.80000       33.84000        1.80000             1.62000
    48.90000       34.02000        1.80000             1.62000
    49.00000       34.20000        1.80000             1.62000
    49.10000       34.38000        1.80000             1.62000
    49.20000       34.56000        1.80000             1.62000
    49.30000       34.74000        1.80000             1.62000
    49.40000       34.92000        1.80000             1.62000
    49.50000       35.10000        1.80000             1.62000
    49.60000       35.28000        1.80000             1.62000
    49.70000       35.46000        1.80000             1.62000
    49.80000       35.64000        1.80000             1.62000
    49.90000       35.82000        1.80000             1.62000
    50.00000       36.00000        1.80000             1.62000
    50.10000       36.18000        1.80000             1.62000
    50.20000       36.36000        1.80000             1.62000
    50.30000       36.54000        1.80000             1.62000
    50.40000       36.72000        1.80000             1.62000
    50.50000       36.90000        1.80000             1.62000
    50.60000       37.08000        1.80000             1.62000
    50.70000       37.26000        1.80000             1.62000
    50.80000       37.44000        1.80000             1.62000
    50.90000       37.62000        1.80000             1.62000
    51.00000       37.80000        1.80000             1.62000
    51.10000       37.98000        1.80000             1.62000
    51.20000       38.16000        1.80000             1.62000
    51.30000       38.34000        1.80000             1.62000
    51.40000       38.52000        1.80000             1.62000
    51.50000       38.70000        1.80000             1.62000
    51.60000       38.88000        1.80000             1.62000
    51.70000       39.06000        1.80000             1.62000
    51.80000       39.24000        1.80000             1.62000
    51.90000       39.42000        1.80000             1.62000
    52.00000       39.60000        1.80000             1.62000
    52.10000       39.78000        1.80000             1.62000
    52.20000       39.96000        1.80000             1.62000
    52.30000       40.14000        1.80000             1.62000
    52.40000       40.32000        1.80000             1.62000
    52.50000       40.50000        1.80000             1.62000
    52.60000       40.68000        1.80000             1.62000
    52.70000       40.86000        1.80000             1.62000
    52.80000       41.04000        1.80000             1.62000
    52.90000       41.22000        1.80000             1.62000
    53.00000       41.40000        1.80000             1.62000
    53.10000       41.58000        1.80000             1.62000
    53.20000       41.76000        1.80000             1.62000
    53.30000       41.94000        1.80000             1.62000
    53.40000       42.12000        1.80000             1.62000
    53.50000       42.30000        1.80000             1.62000
    53.60000       42.48000        1.80000             1.62000
    53.70000       42.66000        1.80000             1.62000
    53.80000       42.84000        1.80000             1.62000
    53.90000       43.02000        1.80000             1.62000
    54.00000       43.20000        1.80000             1.62000
    54.10000       43.38000        1.80000             1.62000
    54.20000       43.56000        1.80000             1.62000
    54.30000       43.74000        1.80000             1.62000
    54.40000       43.92000        1.80000             1.62000
    54.50000       44.10000        1.80000             1.62000
    54.60000       44.28000        1.80000             1.62000
    54.70000       44.46000        1.80000             1.62000
    54.80000       44.64000        1.80000             1.62000
    54.90000       44.82000        1.80000             1.62000
    55.00000       45.00000        1.80000             1.62000
    55.10000       45.18000        1.80000             1.62000
    55.20000       45.36000        1.80000             1.62000
    55.30000       45.54000        1.80000             1.62000
    55.40000       45.72000        1.80000             1.62000
    55.50000       45.90000        1.80000             1.62000
    55.60000       46.08000        1.80000             1.62000
    55.70000       46.26000        1.80000             1.62000
    55.80000       46.44000        1.80000             1.62000
    55.90000       46.62000        1.80000             1.62000
    56.00000       46.80000        1.80000             1.62000
    56.10000       46.98000        1.80000             1.62000
    56.20000       47.16000        1.80000             1.62000
    56.30000       47.34000        1.80000             1.62000
    56.40000       47.52000        1.80000             1.62000
    56.50000       47.70000        1.80000             1.62000
    56.60000       47.88000        1.80000             1.62000
    56.70000       48.06000        1.80000             1.62000
    56.80000       48.24000        1.80000             1.62000
    56.90000       48.42000        1.80000             1.62000
    57.00000       48.60000        1.80000             1.62000
    57.10000       48.78000        1.80000             1.62000
    57.20000       48.96000        1.80000             1.62000
