           t              x              y              z             vz
     0.00000        0.00000        0.00000        0.00000        5.00000
     0.10000        0.50000        0.50000        0.40200        4.02000
     0.20000        1.00000        1.00000        0.70600        7.47858
     0.30000        0.87131        0.87131        1.35586        6.49858
     0.40000        0.74261        0.74261        1.90772        5.51858
     0.50000        0.61392        0.61392        2.36157        4.53858
     0.60000        0.48522        0.48522        2.71743        3.55858
     0.70000        0.35653        0.35653        2.97529        2.57858
     0.80000        0.22784        0.22784        3.13515        1.59858
     0.90000        0.09914        0.09914        3.19701        0.61858
     1.00000       -0.02955       -0.02955        3.16086       -0.36142
     1.10000       -0.15825       -0.15825        3.02672       -1.34142
     1.20000       -0.28694       -0.28694        2.79458       -2.32142
     1.30000       -0.41564       -0.41564        2.46444       -3.30142
     1.40000       -0.54433       -0.54433        2.03630       -4.28142
     1.50000       -0.67302       -0.67302        1.51015       -5.26142
     1.60000       -0.80172       -0.80172        0.88601       -6.24142
     1.70000       -0.93041       -0.93041        0.16387       -7.22142


         #xs             ys             zs
     2.36242        1.11228        1.75517
     2.44924        1.15290        1.75517
     2.53156        1.20198        1.75517
     2.60858        1.25903        1.75517
     2.67951        1.32349        1.75517
     2.74365        1.39471        1.75517
     2.80037        1.47197        1.75517
     2.84908        1.55452        1.75517
     2.88931        1.64151        1.75517
     2.92066        1.73208        1.75517
     2.94281        1.82533        1.75517
     2.95554        1.92033        1.75517

     3.12928        2.00000        1.65067
     3.12364        2.11274        1.65067
     3.10677        2.22435        1.65067
     3.07885        2.33373        1.65067
     3.04014        2.43976        1.65067
     2.99104        2.54141        1.65067
     2.93204        2.63764        1.65067
     2.86372        2.72751        1.65067
     2.78678        2.81010        1.65067
     2.70197        2.88460        1.65067
     2.61016        2.95026        1.65067
     2.51224        3.00643        1.65067
     2.40921        3.05254        1.65067
     2.30208        3.08813        1.65067
     2.19194        3.11285        1.65067
     2.07988        3.12646        1.65067
     1.96703        3.12880        1.65067
     1.85450        3.11987        1.65067
     1.74342        3.09975        1.65067
     1.63491        3.06864        1.65067
     1.53005        3.02686        1.65067
     1.42988        2.97481        1.65067
     1.33541        2.91302        1.65067
     1.24758        2.84211        1.65067
     1.16727        2.76279        1.65067
     1.09528        2.67585        1.65067
     1.03233        2.58215        1.65067
     0.97904        2.48263        1.65067
     0.93596        2.37830        1.65067
     0.90351        2.27018        1.65067
     0.88202        2.15936        1.65067
     0.87169        2.04696        1.65067
     0.87264        1.93408        1.65067
     0.88485        1.82186        1.65067
     0.90821        1.71142        1.65067
     0.94247        1.60387        1.65067
     0.98730        1.50027        1.65067
     1.04225        1.40166        1.65067
     1.10677        1.30904        1.65067
     1.18022        1.22332        1.65067
     1.26185        1.14535        1.65067
     1.35086        1.07593        1.65067
     1.44636        1.01574        1.65067
     1.54738        0.96539        1.65067
     1.65293        0.92537        1.65067
