           t              x              y              z             vz
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000

     4.64975        4.50000        1.49251
     4.64900        4.51495        1.49251
     4.64677        4.52975        1.49251
     4.64306        4.54425        1.49251
     4.63793        4.55832        1.49251
     4.63142        4.57179        1.49251
     4.62359        4.58456        1.49251
     4.61454        4.59647        1.49251
     4.60433        4.60742        1.49251
     4.59309        4.61730        1.49251
     4.58091        4.62601        1.49251
     4.56793        4.63346        1.49251
     4.55426        4.63957        1.49251
     4.54006        4.64429        1.49251
     4.52545        4.64757        1.49251
     4.51059        4.64937        1.49251
